id,content,IF,SHF,CD,Ch,SF,EF,SM,Op
1,传输侧配置错误,0,0,0,0,1,0,0,0
2,QCI=4的模式配置为LTE ONLY，,0,0,0,0,0,0,1,0
3,修改LTE侧QCI=4的配置：,0,0,0,0,0,0,1,0
4,同时服务器响应的TCP参数也不一样，,0,0,0,0,1,0,0,0
5,1、  Speedtest服务器80端口的TCP接收窗口受限导致手机Speedtest上行速率测试无法达到峰值；,0,0,0,0,1,0,0,0
6,切换参数设置也都正常，,0,0,0,0,0,0,1,0
7,把“盖州翔润一品”基站RLC传输模式改回“AM模式”，,0,0,0,0,0,0,1,0
8,L.UL.Interference.Avg.PRBx并不在TTI级别将干扰功率转化为dBm值，,0,0,0,0,0,0,1,0
9,2.流程冲突，,0,1,0,0,0,0,0,0
10,批配置脚本里面修改了备用OMCH地址（10.105.229.80），,0,0,0,0,0,0,1,0
11,可以看到都是UE LOST掉话 ；,0,1,0,0,0,0,0,0
12,业务无法恢复，,0,1,0,0,0,0,0,0
13,老版本的PTN确实不支持DHCP relay，,0,1,0,0,0,0,0,0
14,在阶段3 IP over E1探测不能成功的原因是，,0,1,0,0,0,0,0,0
15,现在PTN 参数配置不支持该功能。,0,1,0,0,1,0,0,0
16,所以现在配置的3个TDD小区（0.62W*64）无法同时激活的。,0,1,0,0,0,0,0,0
17,显示IP冲突；,0,1,0,0,0,0,0,0
18,目前基站版本SRS默认配置为“体验优先”会限制接入用户规格，,0,0,0,0,0,0,1,0
19,将SRS配置为“接入优先”，,0,0,0,0,0,0,1,0
20,CPE一直闪白灯，,0,1,0,0,0,0,0,0
21,基站无小区导致网管校验License时无法选中目标基站,0,1,0,0,0,0,0,0
22,RRU工作制式设置不当导致小区CPRI压缩为增强压缩时小区建立失败,0,1,0,0,1,0,0,0
23,函数返回失败。,0,1,0,0,0,0,0,0
24,终端在无法回落的UTRAN系统后，,0,1,0,0,0,0,0,0
25,对于不支持UTRAN-FDD的终端，,0,1,0,0,0,0,0,0
26,结果显示上行存在稳定的窄带干扰，,0,1,0,0,0,0,0,0
27,优先提升5G竞争力，,0,0,0,0,0,0,1,0
28,而实际配置为LRRU，,0,0,0,0,0,0,1,0
29,已经无法判断实际出现时间和恢复时间。,0,1,0,0,0,0,0,0
30,根据配置信息该站点的TIMESRC配置为GPS，,0,0,0,0,0,0,1,0
31,AAU内部供电转换芯片异常，,0,1,0,0,0,0,0,0
32,发现NR掉话是由LTE锚点小区发生变化（重建导致的，,0,1,0,0,0,0,0,0
33,开站脚本从U2000在线CME无法下发至基站，,0,1,0,0,0,0,0,0
34,且ESN不再上报，,0,1,0,0,0,0,0,0
35,如果配置VLAN，,0,0,0,0,0,0,1,0
36,1、XX2 E-RAB建立失败较多：,0,1,0,0,0,0,0,0
37,配置修改后，,0,0,0,0,0,0,1,0
38,但是CSFB业务始终无法起呼，,0,1,0,0,0,0,0,0
39,1、  设备硬件或软件故障,0,1,0,0,0,0,0,0
